,drug,condition,rating,duration,review_date,upvotes,review,username
0,Ergocalciferol,Vitamin D Deficiency,10.0,,"October 23, 2021",1,"I had went through a period of extreme depression and anxiety for several months. I figured that maybe there was something else going on and to stop attributing my physical and mood symptoms as purely due to my depression. I also would have these moments at random times where I felt like I could fall asleep which was concerning me, along with neck pain and random bouts of crying. Working out had also become impossible due to muscle weakness. A severe vitamin d deficiency was found in blood work and began supplementation of 50,000 units. On day one I noticed marked improvements in my depression, anxiety, energy, concentration, and physical discomfort. Of note this takes time to build up the proper levels in your system. I noticed after five days my symptoms coming back so you need to go ahead and keep taking it.",Anonymous
1,Ergocalciferol,Vitamin D Deficiency,10.0,,"April 5, 2021",7,"Vitamin D2 (ergocalciferol):It works, no side effects whatsoever excellent source in the winter, with a low vit d level 25.1 I knew I felt weak. I take  it in the morning every week...",Yesman619
2,Ergocalciferol,Vitamin D Deficiency,1.0,Taken for less than 1 month,"January 9, 2021",12,"My doc prescribed the 50000 per week vitamin d pill for vitamin d deficiency. I took it 1 time and never took it again. It made me feel terrible! Headache, fatigue, nausea. I just went to bed after I took it that day, so I could sleep off the effects. I've been on 4000 per day for over 2 years now and I do just fine with that, but my vitamin d levels are still under the normal range.",Sharnat41056
3,Ergocalciferol,Vitamin D Deficiency,9.0,Taken for 1 to 2 years,"December 29, 2020",18,"I’ve been taking this at 50,000 IU once weekly for a little over a year now. My levels are rising slowly. Started at 6 and now I’m at an 18. I expected it to raise them a lot faster but it’s working and I have no side effects so I can’t complain.",Kel
4,Ergocalciferol,Vitamin D Deficiency,5.0,Taken for less than 1 month,"November 20, 2020",36,"Vitamin D2 (ergocalciferol):I’ve been feeling tired and weary for months now. I have severe reflux and dysphasia and GERD. Dairy allergy. I had a flare up and ended up cutting ALL dairy (I still ate a small amount at times) but since then I figured the fatigue must be a vitamin deficiency. And I was right my vitamin  D level was 15. I started my 50,000 once a week vitamin D2 yesterday at 3pm. No symptoms then but couldn’t fall asleep until after 1:00am. It is now the 2nd day and I started having a lot of diarrhea around 10:00 am. And getting tired again. Praying no other side effects. I hope everyone hangs in there I know it’s frustrating. My husband doesn’t understand just how awful I feel Being vitamin defi. and no ones does until they go through it. I know you guys don’t feel the best but hang in there and if you have any strange side effects reach out to your dr to make sure you get good advise. To those feeling better- so happy for you guys !!!",Jen
5,Ergocalciferol,Vitamin D Deficiency,10.0,Taken for 1 to 6 months,"September 5, 2020",16,Took it during my chemotherapy. I took it once a week for 6 weeks. Apparently my Vitimian D levels were very low. No side effects,Patient
6,Ergocalciferol,Vitamin D Deficiency,10.0,,"April 25, 2020",93,"I recently started taking the 50,000 IU Vitamin D prescribed by my doctor for Vitamin D deficiency last week. I was very fatigued, muscle cramps, pain, and just felt really bad for awhile now and finally went to the doctor about it and he ran a bunch of blood work, well comes out that my Vitamin D level was 12 which is very low. I have also suffered from depression and anxiety for years now, but more recently the past year it's been worse then usual. Since I've taken 2 doses so far 1 per week I have noticed a marked improvement of all my symptoms! My energy level is a little better, my anxiety and depression have lifted quite a bit and my muscles pain and cramping is improving! I am shocked how much being low on Vitamin D really affects you. I'm hoping the feeling better continues! I am suppose to take 1 per week for 12 weeks and recheck. Anyway, so far so good! Oh and I have not had any side effects at all that I've noticed.",DH
7,Ergocalciferol,Vitamin D Deficiency,2.0,Taken for 2 to 5 years,"February 15, 2020",41,"Vitamin D2 (ergocalciferol):I took Vitamin D2 50,000iu and it caused me to have heart palpitations.  It also caused anxiety but was probably because the palpitations were quite concerning.  I didn't realize it was the D that was causing them until I forgot to take it one week.  I took it for a few months before I realised it.  Stopped taking it and no more palps.  Tried taking Vitamin D3 2000iu daily and within 3 days of taking it I had the palpitations again.  I then tried 400iu a day for about 3 weeks and no palpitations.  I am now trying 600iu and having palpitations again.  It is definitely the Vitamin D because when I stop taking it all together the palpitations stop completely.  I am deficient with a level at 18.  Been trying to take these for a few years without success.  Maybe building up a tolerance with a low dose will work.  I hope.",Kay
8,Ergocalciferol,Vitamin D Deficiency,,Taken for 1 to 6 months,"October 17, 2019",24,"I was prescribed 50,000 once weekly for 12 weeks for a severe D deficiency.  I had been having headaches but about 2 weeks into it, I started having SEVERE brain shakes/tremors that were constant.  Since I had been having some neuro trouble already it did not occur to me that the Ergocalciferol would be the cause.  It was not until I created a time line (11 weeks in) that I realized the D3 might me the culprit.  I  stopped taking it and within 7-8 days was free from these tremors.  I was then put on 5000 units a day and after about three days the brain shakes/tremors started again.  I stopped taking the d3 and the tremors stopped again.  Now I am left with trying to get my D up without D2 or D3 supplements.  arg!",Katie Baby
9,Ergocalciferol,Vitamin D Deficiency,,Taken for 1 to 6 months,"May 16, 2019",28,"My doctor prescribed 50,000 i.u. once a week.  The first, second, and third week, the headaches were bearable.  Today, I thought I would need to call emergency.  I never had experienced a headache like the one I suffered 6 hours ago.   I am grateful for the changes this medicine has made in my life.  My doctor may simply need to adjust the dosage.  I only wish that I had been informed of the possible side effects. I am a 75 year old female.",Ramona
