,drug,condition,rating,duration,review_date,upvotes,review,username
0,Phentermine,Weight Loss,9.0,Taken for 1 to 6 months,"March 14, 2022",0,"I was placed on Phentermine 15 HCL capsules. It was been about 6 weeks, and I am down 7 lbs. Not sure if it's due to the lower dose, but the weight has been falling off slowly. Honestly, I am happy with it due to struggles with weight loss because of a hormonal imbalance. Also, you have to work with the pill. You have to eat less, definitely. Lastly, this low dose has not given me any side effects whatsoever. My sleep schedule has not been disturbed; just more energy. Will update as on month 2 and 3.",Q99
1,Phentermine,Weight Loss,10.0,Taken for 1 to 6 months,"February 21, 2022",5,This medication really help finish my appetite. With calorie reduction and a daily gym routine I have been losing about 7 lbs per month on average. I do get a little jittery at times and have dry mouth as symptoms.. otherwise I highly recommend it.,Anonymous
2,Phentermine,Weight Loss,10.0,Taken for 1 to 6 months,"February 19, 2022",9,So I did keto lost weight but ended up gaining everything back and more when I started eating carbs and ended up obese. Then I was stuck which was crazy because I’m the type that can get on track and lose weight when I put my mind to it. So I started phentermine  at 5’5 177 pounds the biggest I’ve ever been..I was scared at first because I have anxiety and I heard it could make it worse but I started taking it and the energy was amazing it suppressed my appetite but for the most part I really just got full faster after a meal. The thing that surprised me my mood was better I loved it after my first week I was down 8 pounds I worked out everyday and ate low carb the second week the effect started going away but I kept doing my routine and by the end of the month I was 20 pounds down which put me in my healthy range. My second month was my last month I only lost 7 but I was happy I got down to 150.I haven’t gained since I’ve been off just losing I’m now 139 :),Anonymous
3,Phentermine,Weight Loss,5.0,Taken for 1 to 2 years,"February 9, 2022",2,I started phentermine on Sept 9th 2015 - On Sept 9th 2016 I had lost 78 lbs on my 50th birthday -- This stuff was the BEST ever--- BUT I started eating like I used to and NOT being active and gained 100 lbs back within another year -- SO I started taking it again and the second go round did not effect me at all.,Miss weightloss
4,Phentermine,Weight Loss,10.0,Taken for 1 to 6 months,"February 8, 2022",2,"I’ve never written a review before, but I will provide facts of my use of Phentermine 7.5mg. I have used phentermine on and off for several years with very little exercising. During my first use I lost 35 pounds. During my second use just before Covid, I lost 52 pounds in four months. Phentermine greatly reduced my sugar cravings especially at nighttime. I don’t know what it is about this drug but it clearly offers something that my body is not able to produce. I feel normal when I am on Phentermine, not running around looking for the next meal or candy etc.  The lone side effect that I have, insomnia the first few nights but then that goes away. I found taking a half pill the first three nights makes a difference. Though this drug doesn’t work for everybody, my wife has tried it and did not notice a difference. As has my daughter. But for me, it’s my miracle and for many of you it will be also. Again, this drug does not work with everybody so don’t be afraid to try it.",Jason
5,Phentermine,Weight Loss,1.0,Taken for 1 to 2 years,"February 6, 2022",3,"First time, I lost 50lbs. I stopped it because I had cramping so severe I thought I was dying. Went downhill after that. It messed up my hormones so badly, and killed my nervous system. I got vulvodynia from it. I was not aware thats what caused it. 2 years later, I decided to try it again. Took a long time to get my lifetime condition under control. A week into it, my condition escalated to that same pain I was in 2 years ago. It bad for my nerves. I have nerve damage. I will forever feel like my body is on fire.  No cure. Doctors deny it. This caused it! Beware!",Trixie
6,Phentermine,Weight Loss,1.0,Taken for less than 1 month,"January 26, 2022",3,"Not worth it! I was literally one pound overweight and wanted to lose 10lbs. For two to three weeks, I was a little energized and had a hard time falling asleep but really had NO scary side effects AT ALL. THEN, at about three and a half weeks after beginning phentermine, I was awakened in the middle of the night sweating and with my heart racing out of control. My heart was beating so fast I couldn't get a number. It ended up being  204bpm which is crazy dangerous. I had to be given a heart medication to slow it down, and even then it stayed at about 110 for three or four more hours. I was released to go home and I felt just tired and drained the following day. I went to bed early and got up feeling normal. I obviously stopped using the phentermine and my heart is at its normal 60-65bpm. Drs said I was lucky I didn't have a more dangerous arrhythmia or just collapse. Beware of this medication!",liltex84
7,Phentermine,Weight Loss,,Taken for 1 to 6 months,"January 1, 2022",5,"Lomaira (phentermine):This is the low dose (8mg) Phentermine that is theoretically designed to be taken up to three times per day. Years ago I took the full strength 37.5 mg Phentermine and felt like I was going to die and couldn’t sleep. This low dose for me is totally different. I still feel a little wired but my blood pressure and heart rate are normal, and if I don’t take it too late I can sleep ok (although I have honestly have sleep problems anyway so I can’t evaluate that well). This dosage is way lower so you will have to be more careful with what you eat, you will have to take it at least twice per day (maybe three if it doesn’t bother your sleep and you have a lot of weight to lose). I really am glad doctors discovered that lower dose Phentermine works pretty well, because I just couldn’t tolerate the side effects of the higher dose but this lower dose is doable. Drink lots of water and do NOT drink caffeine or take other stimulants on this!",texshopper
8,Phentermine,Weight Loss,9.0,,"December 16, 2021",2,"Great method for weight loss. After 5 days you are out of money, guaranteed to lose weight if you have got nothing left to buy food.",Run Rabbit Run
9,Phentermine,Weight Loss,10.0,Taken for less than 1 month,"December 12, 2021",6,Fastin (phentermine):Weird but I have NO side effects except no appetite. None of that  fast heart beating or anything else! I Love This Stuff!!!,liliramsey13
